Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
BRIT,X13,PoW/PoS,21268092.0,30000000.0,-0.30801582886138734,1.6714422729228273,-0.5773773932503048,0,BritCoin
SOCC,Scrypt,PoW,5167775.0,75000000.0,-0.16282569054793028,-1.1152987038576039,0.004665768060526705,2,SocialCoin
ARC,X11,PoW,26042364.3735553,60000000.0,-0.22425038496854185,-0.9343103569175206,0.11039021935896473,2,ArcticCoin
DAS,X11,PoW,2622886.0,18900000.0,-0.22482941308234355,-0.9343068144589115,0.11040203333858822,2,DAS
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000.0,0.1145818233424933,0.9274676702153265,-0.5617369506040362,0,Linda
XLC,CryptoNight,PoW,14161803.0,54000000.0,0.3226169094548283,-2.245532808307477,0.45640086939319807,2,LeviarCoin
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.30808688146127566,1.6714466996002524,-0.5773765902867806,0,DeepOnion
BTX,Time Travel,PoW,17801865.1605478,21000000.0,-0.11288971142695081,-2.103177700362932,0.5075449924121478,2,Bitcore
GCN,Scrypt,PoW,163055097500.0,200000000000.0,3.2549718353676234,-1.1080902731464668,-0.0696233397446053,2,gCn Coin
SMART,Keccak,PoW,2241009149.22257,5000000000.0,-0.1485864611148611,-1.3621678887735988,0.21875963464411563,2,SmartCash
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0,-0.3286903639708245,1.553711251577044,-0.1133871999101947,0,Signatum
ONX,X11,PoW,122475638.389743,1100000000.0,-0.21567033212429548,-0.9346468273428853,0.11026116612286734,2,Onix
CRM,Skein,PoW/PoS,47331802.4774238,100000000.0,-0.4451336580048194,1.7271937496517913,-0.6588791796951908,0,Cream
BCH,SHA-256,PoW,17995589.6469082,21000000.0,-0.1505545570300121,-1.338541562336446,0.20410048460348054,2,Bitcoin Cash
XMCC,X11,PoW/PoS,12569262.5359307,9507271.0,-0.4132225028962694,1.1224260967117992,-0.44829790499629757,0,Monoeci
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.27362935740903144,0.8840076526967847,-0.2979072435214141,0,Draftcoin
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0,4.448470032534804,3.789878325376044,3.3911658788554506,0,Vechain
SOJ,Scrypt,PoW,485214.0,10500000000.0,-0.08870520166736716,-1.1191547030235967,0.0037047151111367707,2,Sojourn Coin
STCN,PoS,PoS,4000000.0,61599965.0,-0.30469851687005534,1.7300419651664924,-0.19512214589948823,0,Stakecoin
NYC,Scrypt,PoW,143006669741.687,0.0,1.5865623892112655,-1.0441323978275494,-0.044290592756934165,2,NewYorkCoin
FRAZ,Scrypt,PoW,9704042.0,20000000.0,-0.16316152551031712,-1.1152761161014049,0.0046692936182389,2,FrazCoin
KRONE,Scrypt,PoW,17453749.4042601,84000000.0,-0.162611307638137,-1.115295918895301,0.004660730309512394,2,Kronecoin
ACC,Scrypt,PoW,32646731.063036,100000000.0,-0.16231154380081278,-1.1152942753877224,0.00465405082002633,2,AdCoin
LINX,Scrypt,PoW,33716526.0,100000000.0,-0.1622984526277537,-1.1152937431996433,0.004653684525440571,2,Linx
XCXT,Scrypt,PoW/PoS,19539588.0,48252000.0,-0.35128811518394487,0.9414428243133209,-0.5540340829252874,0,CoinonatX
ETHD,Scrypt,PoW/PoS,4200000.0,4200000.0,-0.35178927356978623,0.9414514774799786,-0.5540247628849466,0,Ethereum Dark
SUMO,CryptoNight,PoW,8946653.0,88888888.0,0.3228013387533164,-2.245548299581134,0.45639943336573185,2,Sumokoin
ODN,SHA-512,PoS,25000000.0,91388946.0,-0.3716065356211005,1.9720193882714325,-0.3783444665917086,0,Obsidian
ADA,Ouroboros,PoS,25927070538.0,45000000000.0,0.6950724080903631,1.6588765908664227,-0.15837233442121623,0,Cardano
REC,X11,PoW/PoS,7262402.04264803,27000000.0,-0.4131629760708805,1.1224169904196346,-0.4482977032414456,0,Regalcoin
BTCZ,Equihash,PoW,5211553258.01514,21000000000.0,0.04686031123416088,-2.1540284445583158,0.3993031948965856,2,BitcoinZ
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000.0,-0.3647523085691141,0.4202150952382642,-0.3157387824020798,0,TrezarCoin
ELM,X11,PoW,2702855668.85288,1800000000.0,-0.1791132359190891,-0.9336219320620998,0.10931301293254755,2,Elements
TER,Scrypt,PoW/PoS,1140734.91680375,15733333.0,-0.3517446460656087,0.9414456922230883,-0.554024780402698,0,TerraNovaCoin
VIVO,NeoScrypt,PoW,4165967.57499639,27000000.0,-0.181142354521942,-1.6364602981623848,0.2430541693254794,2,VIVO Coin
RUP,Lyra2REv2,PoS,24000000.0,24000000.0,-0.2705301018494997,0.860376086335764,-0.17358076326095268,0,Rupee
BTG,Equihash,PoW,17202361.088994,21000000.0,-0.16597687242176368,-2.148857439476328,0.4030189495956536,2,Bitcoin Gold
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000.0,0.4190165847109216,0.956316532968578,-0.5729238435222868,0,WomenCoin
MAY,SHA-256,PoW/PoS,92050800.0,100000000.0,-0.3375341940464276,0.7181905659344949,-0.3546295666884606,0,Theresa May Coin
NAMO,NIST5,PoW/PoS,560563220.0,1200000000.0,-0.3728029295439656,1.3871844670511893,-0.6001649899295314,0,NamoCoin
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000.0,-0.3918614123435262,1.842919474869857,-0.6247373302660996,0,LUXCoin
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.15048383922508188,-2.155161491650404,0.48569545701776073,2,Pirl
XIOS,Scrypt,PoW/PoS,2149688.0,21000000.0,-0.35169482510613204,0.9414442472862706,-0.5540256121951785,0,Xios
BTDX,Quark,PoW/PoS,30711550.5294042,200000000.0,-0.3971275562079058,1.6777403577539536,-0.4905808085202515,0,Bitcloud 2.0
EBST,Scrypt,PoW,99990001.493466,100000000.0,-0.16148745838302625,-1.1152607743077656,0.004630992685727008,2,eBoost
KEK,POS 2.0,PoS,12330806.30517,21000000.0,-0.31021935355473523,1.797463461649809,-0.20820819404096863,0,KekCoin
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.3515650998962698,0.9414536139235203,-0.5540299050372942,0,BlackholeCoin
XIN,SHA-256,PoS,8999999990.0,9000000000.0,-0.08731104549997434,0.6618858984012372,-0.10237776686399014,0,Infinity Economics
